section,training_seed,split,prediction_source,score_or_state,region,window_sec,metric,legacy_value,final_value,signed_difference_final_minus_legacy,absolute_difference,exactly_equal
overall_error_detection,1,test,deterministic_raw,normalised_entropy,overall,,exact_aurc,0.3045039427048373,0.3045039427048373,0.0,0.0,True
overall_error_detection,1,test,mc_dropout_t30,mc_entropy,overall,,exact_aurc,0.2943041557909687,0.29346598543141644,-0.0008381703595522483,0.0008381703595522483,False
overall_error_detection,1,test,mc_dropout_t30,mc_mutual_info,overall,,exact_aurc,0.2646953541639875,0.2635744816519933,-0.0011208725119941643,0.0011208725119941643,False
overall_error_detection,2,val,deterministic_raw,one_minus_confidence,overall,,exact_aurc,0.1677562828712334,0.16775628287123345,5.551115123125783e-17,5.551115123125783e-17,False
overall_error_detection,2,val,deterministic_raw,normalised_entropy,overall,,exact_aurc,0.1624716355588115,0.16247163555881153,2.7755575615628914e-17,2.7755575615628914e-17,False
overall_error_detection,2,val,mc_dropout_t30,mc_entropy,overall,,exact_aurc,0.1656886214839645,0.16547227214336635,-0.0002163493405981376,0.0002163493405981376,False
overall_error_detection,2,val,mc_dropout_t30,mc_mutual_info,overall,,exact_aurc,0.1513688541135151,0.15059594412546143,-0.0007729099880536827,0.0007729099880536827,False
overall_error_detection,2,test,deterministic_raw,one_minus_confidence,overall,,exact_aurc,0.1639253245405993,0.16392532454059935,5.551115123125783e-17,5.551115123125783e-17,False
overall_error_detection,2,test,deterministic_raw,normalised_entropy,overall,,exact_aurc,0.1596283310870046,0.1596283310870046,0.0,0.0,True
overall_error_detection,2,test,mc_dropout_t30,mc_entropy,overall,,exact_aurc,0.1573791177967482,0.15741907888696946,3.996109022125216e-05,3.996109022125216e-05,False
overall_error_detection,2,test,mc_dropout_t30,mc_mutual_info,overall,,exact_aurc,0.1530321501948665,0.15320271533631694,0.0001705651414504461,0.0001705651414504461,False
conditional_error_detection,0,val,deterministic_raw,one_minus_confidence,near_boundary,5.0,auroc,0.6049295774647887,0.6049295774647887,0.0,0.0,True
conditional_error_detection,0,val,deterministic_raw,one_minus_confidence,near_boundary,5.0,aupr,0.6744094085467816,0.6744094085467816,0.0,0.0,True
conditional_error_detection,0,val,deterministic_raw,one_minus_confidence,far_from_boundary,5.0,auroc,0.7547499391304577,0.7547499391304577,0.0,0.0,True
conditional_error_detection,0,val,deterministic_raw,one_minus_confidence,far_from_boundary,5.0,aupr,0.5281479222221778,0.5281479222221778,0.0,0.0,True
conditional_error_detection,0,val,deterministic_raw,one_minus_confidence,near_boundary,10.0,auroc,0.6233206106870229,0.6233206106870229,0.0,0.0,True
conditional_error_detection,0,val,deterministic_raw,one_minus_confidence,near_boundary,10.0,aupr,0.6752583573051533,0.6752583573051533,0.0,0.0,True
