training_seed,split,prediction_source,score,window_sec,n_frames,n_near_boundary,near_boundary_prevalence,auroc,aupr
2,test,mc_dropout_t30,mc_mutual_info,5,28060,605,0.021560940841054883,0.6067129231755645,0.03089147984151689
2,test,mc_dropout_t30,mc_mutual_info,10,28060,1155,0.041161796151104775,0.6068844121250737,0.05760352321607031
2,test,mc_dropout_t30,mc_mutual_info,20,28060,2236,0.0796863863150392,0.5935973307270018,0.10234109650898457
2,val,deterministic_raw,one_minus_confidence,5,14972,242,0.01616350520972482,0.6351532825009959,0.0286331417352819
2,val,deterministic_raw,one_minus_confidence,10,14972,462,0.030857600854929203,0.6260530131481199,0.05169994760638544
2,val,deterministic_raw,one_minus_confidence,20,14972,902,0.06024579214533796,0.6229729953337526,0.09245072363251126
2,val,deterministic_raw,normalised_entropy,5,14972,242,0.01616350520972482,0.6381447318958892,0.028938621258185592
2,val,deterministic_raw,normalised_entropy,10,14972,462,0.030857600854929203,0.6265887684564458,0.05044030290668311
2,val,deterministic_raw,normalised_entropy,20,14972,902,0.06024579214533796,0.6239277165014332,0.09108597499452271
2,val,mc_dropout_t30,mc_entropy,5,14972,242,0.01616350520972482,0.6528549707405475,0.0317190125230026
2,val,mc_dropout_t30,mc_entropy,10,14972,462,0.030857600854929203,0.6408776899645265,0.054033393912652126
2,val,mc_dropout_t30,mc_entropy,20,14972,902,0.06024579214533796,0.6397267700143565,0.09605697075394623
2,val,mc_dropout_t30,mc_mutual_info,5,14972,242,0.01616350520972482,0.630447363843957,0.022510364870596038
2,val,mc_dropout_t30,mc_mutual_info,10,14972,462,0.030857600854929203,0.6247543864359852,0.04134308332953188
2,val,mc_dropout_t30,mc_mutual_info,20,14972,902,0.06024579214533796,0.6264327712088906,0.07949293565737392
