section,split,prediction_source,score_or_state,region,window_sec,metric,direction,value_mean,value_std,n_training_seeds,n_frames_mean,positive_rate_mean,notes
conditional_error_detection,val,deterministic_raw,normalised_entropy,near_boundary,5.0,aupr,higher,0.6053743880542654,0.03547699217196025,3,242.0,0.5564738292011019,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,deterministic_raw,normalised_entropy,near_boundary,10.0,auroc,higher,0.5481658946334286,0.08535379267358506,3,462.0,0.5252525252525252,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,deterministic_raw,normalised_entropy,near_boundary,10.0,aupr,higher,0.5769378292420511,0.08000952888728449,3,462.0,0.5252525252525252,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,deterministic_raw,normalised_entropy,near_boundary,20.0,auroc,higher,0.5744196366006135,0.0757113641491428,3,902.0,0.5033259423503326,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,deterministic_raw,normalised_entropy,near_boundary,20.0,aupr,higher,0.5784912888256705,0.09742859247777085,3,902.0,0.5033259423503326,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,deterministic_raw,one_minus_confidence,far_from_boundary,5.0,auroc,higher,0.7243313971855022,0.03804426068770443,3,14730.0,0.2708078750848608,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,deterministic_raw,one_minus_confidence,far_from_boundary,5.0,aupr,higher,0.4891958710533622,0.06687899082403624,3,14730.0,0.2708078750848608,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,deterministic_raw,one_minus_confidence,far_from_boundary,10.0,auroc,higher,0.7267325346666419,0.036655600389008273,3,14510.0,0.2674707098552722,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,deterministic_raw,one_minus_confidence,far_from_boundary,10.0,aupr,higher,0.4884699258736854,0.06585754952385597,3,14510.0,0.2674707098552722,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,deterministic_raw,one_minus_confidence,far_from_boundary,20.0,auroc,higher,0.729679874510983,0.03601464747326039,3,14070.0,0.26081497275527127,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,deterministic_raw,one_minus_confidence,far_from_boundary,20.0,aupr,higher,0.4860222596948405,0.06437564570401734,3,14070.0,0.26081497275527127,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,deterministic_raw,one_minus_confidence,near_boundary,5.0,auroc,higher,0.549056574560736,0.0665617042611892,3,242.0,0.5564738292011019,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,deterministic_raw,one_minus_confidence,near_boundary,5.0,aupr,higher,0.6018497398372634,0.06300600362446883,3,242.0,0.5564738292011019,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,deterministic_raw,one_minus_confidence,near_boundary,10.0,auroc,higher,0.542406368901737,0.09213919477029982,3,462.0,0.5252525252525252,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,deterministic_raw,one_minus_confidence,near_boundary,10.0,aupr,higher,0.5739017242898942,0.09240073413005899,3,462.0,0.5252525252525252,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,deterministic_raw,one_minus_confidence,near_boundary,20.0,auroc,higher,0.5657257418743087,0.08328543054312028,3,902.0,0.5033259423503326,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,deterministic_raw,one_minus_confidence,near_boundary,20.0,aupr,higher,0.568152216358775,0.11060116857910762,3,902.0,0.5033259423503326,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,mc_dropout_t30,mc_entropy,far_from_boundary,5.0,auroc,higher,0.740452563021643,0.02735545144339083,3,14730.0,0.2726861280832768,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,mc_dropout_t30,mc_entropy,far_from_boundary,5.0,aupr,higher,0.5159827035879961,0.06532734524218882,3,14730.0,0.2726861280832768,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,mc_dropout_t30,mc_entropy,far_from_boundary,10.0,auroc,higher,0.7425024846651351,0.026175494459923582,3,14510.0,0.2693085228577992,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,mc_dropout_t30,mc_entropy,far_from_boundary,10.0,aupr,higher,0.514874482667889,0.06459133010712464,3,14510.0,0.2693085228577992,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,mc_dropout_t30,mc_entropy,far_from_boundary,20.0,auroc,higher,0.7452207935399718,0.025929427463689342,3,14070.0,0.26280502250651505,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,mc_dropout_t30,mc_entropy,far_from_boundary,20.0,aupr,higher,0.5117992169765446,0.06505004711685279,3,14070.0,0.26280502250651505,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,mc_dropout_t30,mc_entropy,near_boundary,5.0,auroc,higher,0.5779773202033186,0.04455975986353857,3,242.0,0.5647382920110192,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,mc_dropout_t30,mc_entropy,near_boundary,5.0,aupr,higher,0.6411742416019689,0.02028605257678814,3,242.0,0.5647382920110192,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,mc_dropout_t30,mc_entropy,near_boundary,10.0,auroc,higher,0.5706436830096013,0.07266570116346831,3,462.0,0.5317460317460317,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,mc_dropout_t30,mc_entropy,near_boundary,10.0,aupr,higher,0.6084779782763095,0.0660974564016958,3,462.0,0.5317460317460317,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,mc_dropout_t30,mc_entropy,near_boundary,20.0,auroc,higher,0.5893183375330565,0.06081182893201164,3,902.0,0.5051736881005174,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,mc_dropout_t30,mc_entropy,near_boundary,20.0,aupr,higher,0.5986830763964975,0.07801151699316279,3,902.0,0.5051736881005174,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,mc_dropout_t30,mc_mutual_info,far_from_boundary,5.0,auroc,higher,0.7574348284132965,0.018891708664552323,3,14730.0,0.2726861280832768,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,mc_dropout_t30,mc_mutual_info,far_from_boundary,5.0,aupr,higher,0.5399190886289028,0.06624676657640466,3,14730.0,0.2726861280832768,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,mc_dropout_t30,mc_mutual_info,far_from_boundary,10.0,auroc,higher,0.759825952525866,0.01832316761114227,3,14510.0,0.2693085228577992,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,mc_dropout_t30,mc_mutual_info,far_from_boundary,10.0,aupr,higher,0.5398034856652361,0.06887761875072998,3,14510.0,0.2693085228577992,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,mc_dropout_t30,mc_mutual_info,far_from_boundary,20.0,auroc,higher,0.7632511727187308,0.018275821453592817,3,14070.0,0.26280502250651505,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,mc_dropout_t30,mc_mutual_info,far_from_boundary,20.0,aupr,higher,0.5396006827425137,0.07363474284510084,3,14070.0,0.26280502250651505,AUPR depends on the error prevalence inside this region.
