training_seed,split,prediction_source,score,region,window_sec,n_frames,n_errors,error_rate,mean_uncertainty,auroc,aupr
1,test,deterministic_raw,one_minus_confidence,far_from_boundary,5,27455,9908,0.36088144236022585,0.2107853687783646,0.5751755410044823,0.4386864780910469
1,test,deterministic_raw,one_minus_confidence,near_boundary,10,1155,595,0.5151515151515151,0.24256124840692642,0.5384663865546219,0.5341475267379645
1,test,deterministic_raw,one_minus_confidence,far_from_boundary,10,26905,9628,0.35785170042742986,0.2102082065813046,0.5744571624662003,0.4358303805151135
1,test,deterministic_raw,one_minus_confidence,near_boundary,20,2236,1136,0.5080500894454383,0.23353098073792486,0.5527136683738796,0.5391987749802853
1,test,deterministic_raw,one_minus_confidence,far_from_boundary,20,25824,9087,0.35188197026022305,0.2096357948826673,0.5744493463730301,0.4309708246036971
1,test,deterministic_raw,normalised_entropy,near_boundary,5,605,315,0.5206611570247934,0.3218731924601176,0.5122058018609743,0.5279511987838483
1,test,deterministic_raw,normalised_entropy,far_from_boundary,5,27455,9908,0.36088144236022585,0.28160847344242523,0.5818169893975736,0.43999111829441906
1,test,deterministic_raw,normalised_entropy,near_boundary,10,1155,595,0.5151515151515151,0.3165509252953842,0.5488535414165666,0.5441267444682556
1,test,deterministic_raw,normalised_entropy,far_from_boundary,10,26905,9628,0.35785170042742986,0.28101384876729185,0.5811904112128439,0.43709786784608273
1,test,deterministic_raw,normalised_entropy,near_boundary,20,2236,1136,0.5080500894454383,0.3070241986346805,0.5655937900128041,0.5550696210146544
1,test,deterministic_raw,normalised_entropy,far_from_boundary,20,25824,9087,0.35188197026022305,0.28035113892708374,0.5806312218824807,0.43092828152377327
1,test,mc_dropout_t30,mc_entropy,near_boundary,5,605,317,0.5239669421487604,0.6640431066990391,0.5331997020679986,0.5555920897779785
1,test,mc_dropout_t30,mc_entropy,far_from_boundary,5,27455,9830,0.3580404297942087,0.5816422622921558,0.590232829015245,0.43756088731373766
1,test,mc_dropout_t30,mc_entropy,near_boundary,10,1155,598,0.5177489177489177,0.6531542307177147,0.5675471199630125,0.5632787752194572
1,test,mc_dropout_t30,mc_entropy,far_from_boundary,10,26905,9549,0.35491544322616614,0.58042524639677,0.5894355000279848,0.4343784896088825
1,test,mc_dropout_t30,mc_entropy,near_boundary,20,2236,1142,0.5107334525939177,0.6342573301493455,0.5816818052296078,0.5733616234788066
1,test,mc_dropout_t30,mc_entropy,far_from_boundary,20,25824,9005,0.3487066294919455,0.5790169997122877,0.5886351198683676,0.42714298633371556
